site,dataset,sub,task,run,suffix,shape,pixdim,tr,num_trs,dur,path
CMU,CMU_b,0050648,rest,1,bold,"[64, 64, 21]","[3.0, 3.0, 4.5]",1.5,320.0,480.0,CMU_b/sub-0050648/func/sub-0050648_task-rest_run-1_bold.nii.gz
CMU,CMU_b,0050650,,,T1w,"[164, 204, 126]","[1.0, 1.0, 1.0]",,,,CMU_b/sub-0050650/anat/sub-0050650_T1w.nii.gz
CMU,CMU_b,0050650,rest,1,bold,"[64, 64, 21]","[3.0, 3.0, 4.5]",1.5,320.0,480.0,CMU_b/sub-0050650/func/sub-0050650_task-rest_run-1_bold.nii.gz
CMU,CMU_b,0050651,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,CMU_b/sub-0050651/anat/sub-0050651_T1w.nii.gz
CMU,CMU_b,0050651,rest,1,bold,"[64, 64, 21]","[3.0, 3.0, 4.5]",1.5,320.0,480.0,CMU_b/sub-0050651/func/sub-0050651_task-rest_run-1_bold.nii.gz
CMU,CMU_b,0050652,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,CMU_b/sub-0050652/anat/sub-0050652_T1w.nii.gz
CMU,CMU_b,0050652,rest,1,bold,"[64, 64, 21]","[3.0, 3.0, 4.5]",1.5,320.0,480.0,CMU_b/sub-0050652/func/sub-0050652_task-rest_run-1_bold.nii.gz
CMU,CMU_b,0050655,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,CMU_b/sub-0050655/anat/sub-0050655_T1w.nii.gz
CMU,CMU_b,0050655,rest,1,bold,"[64, 64, 21]","[3.0, 3.0, 4.5]",1.5,320.0,480.0,CMU_b/sub-0050655/func/sub-0050655_task-rest_run-1_bold.nii.gz
CMU,CMU_b,0050657,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,CMU_b/sub-0050657/anat/sub-0050657_T1w.nii.gz
CMU,CMU_b,0050657,rest,1,bold,"[64, 64, 21]","[3.0, 3.0, 4.5]",1.5,320.0,480.0,CMU_b/sub-0050657/func/sub-0050657_task-rest_run-1_bold.nii.gz
CMU,CMU_b,0050658,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,CMU_b/sub-0050658/anat/sub-0050658_T1w.nii.gz
CMU,CMU_b,0050658,rest,1,bold,"[64, 64, 21]","[3.0, 3.0, 4.5]",1.5,320.0,480.0,CMU_b/sub-0050658/func/sub-0050658_task-rest_run-1_bold.nii.gz
CMU,CMU_b,0050661,,,T1w,"[169, 194, 155]","[1.0, 1.0, 1.0]",,,,CMU_b/sub-0050661/anat/sub-0050661_T1w.nii.gz
CMU,CMU_b,0050661,rest,1,bold,"[64, 64, 21]","[3.0, 3.0, 4.5]",1.5,320.0,480.0,CMU_b/sub-0050661/func/sub-0050661_task-rest_run-1_bold.nii.gz
CMU,CMU_b,0050667,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,CMU_b/sub-0050667/anat/sub-0050667_T1w.nii.gz
CMU,CMU_b,0050667,rest,1,bold,"[64, 64, 21]","[3.0, 3.0, 4.5]",1.5,320.0,480.0,CMU_b/sub-0050667/func/sub-0050667_task-rest_run-1_bold.nii.gz
CMU,CMU_b,0050669,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,CMU_b/sub-0050669/anat/sub-0050669_T1w.nii.gz
CMU,CMU_b,0050669,rest,1,bold,"[64, 64, 21]","[3.0, 3.0, 4.5]",1.5,320.0,480.0,CMU_b/sub-0050669/func/sub-0050669_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051456,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051456/anat/sub-0051456_T1w.nii.gz
Caltech,Caltech,0051456,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051456/func/sub-0051456_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051457,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051457/anat/sub-0051457_T1w.nii.gz
Caltech,Caltech,0051457,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051457/func/sub-0051457_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051458,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051458/anat/sub-0051458_T1w.nii.gz
Caltech,Caltech,0051458,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051458/func/sub-0051458_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051459,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051459/anat/sub-0051459_T1w.nii.gz
Caltech,Caltech,0051459,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051459/func/sub-0051459_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051460,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051460/anat/sub-0051460_T1w.nii.gz
Caltech,Caltech,0051460,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051460/func/sub-0051460_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051461,,,T1w,"[176, 240, 256]","[1.0, 0.97, 0.97]",,,,Caltech/sub-0051461/anat/sub-0051461_T1w.nii.gz
Caltech,Caltech,0051461,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 4.3]",2.0,150.0,300.0,Caltech/sub-0051461/func/sub-0051461_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051462,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051462/anat/sub-0051462_T1w.nii.gz
Caltech,Caltech,0051462,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051462/func/sub-0051462_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051463,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051463/anat/sub-0051463_T1w.nii.gz
Caltech,Caltech,0051463,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051463/func/sub-0051463_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051464,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051464/anat/sub-0051464_T1w.nii.gz
Caltech,Caltech,0051464,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051464/func/sub-0051464_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051465,,,T1w,"[256, 224, 176]","[1.0, 1.0, 0.9]",,,,Caltech/sub-0051465/anat/sub-0051465_T1w.nii.gz
Caltech,Caltech,0051465,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.8]",2.0,150.0,300.0,Caltech/sub-0051465/func/sub-0051465_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051466,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051466/anat/sub-0051466_T1w.nii.gz
Caltech,Caltech,0051466,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051466/func/sub-0051466_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051467,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051467/anat/sub-0051467_T1w.nii.gz
Caltech,Caltech,0051467,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051467/func/sub-0051467_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051468,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051468/anat/sub-0051468_T1w.nii.gz
Caltech,Caltech,0051468,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051468/func/sub-0051468_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051469,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051469/anat/sub-0051469_T1w.nii.gz
Caltech,Caltech,0051469,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051469/func/sub-0051469_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051470,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051470/anat/sub-0051470_T1w.nii.gz
Caltech,Caltech,0051470,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051470/func/sub-0051470_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051471,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051471/anat/sub-0051471_T1w.nii.gz
Caltech,Caltech,0051471,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051471/func/sub-0051471_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051472,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051472/anat/sub-0051472_T1w.nii.gz
Caltech,Caltech,0051472,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051472/func/sub-0051472_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051473,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051473/anat/sub-0051473_T1w.nii.gz
Caltech,Caltech,0051473,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051473/func/sub-0051473_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051474,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051474/anat/sub-0051474_T1w.nii.gz
Caltech,Caltech,0051474,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051474/func/sub-0051474_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051475,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051475/anat/sub-0051475_T1w.nii.gz
Caltech,Caltech,0051475,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051475/func/sub-0051475_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051476,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051476/anat/sub-0051476_T1w.nii.gz
Caltech,Caltech,0051476,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051476/func/sub-0051476_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051477,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051477/anat/sub-0051477_T1w.nii.gz
Caltech,Caltech,0051477,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051477/func/sub-0051477_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051478,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051478/anat/sub-0051478_T1w.nii.gz
Caltech,Caltech,0051478,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051478/func/sub-0051478_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051479,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051479/anat/sub-0051479_T1w.nii.gz
Caltech,Caltech,0051479,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051479/func/sub-0051479_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051480,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051480/anat/sub-0051480_T1w.nii.gz
Caltech,Caltech,0051480,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051480/func/sub-0051480_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051481,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051481/anat/sub-0051481_T1w.nii.gz
Caltech,Caltech,0051481,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051481/func/sub-0051481_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051482,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051482/anat/sub-0051482_T1w.nii.gz
Caltech,Caltech,0051482,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051482/func/sub-0051482_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051483,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051483/anat/sub-0051483_T1w.nii.gz
Caltech,Caltech,0051483,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051483/func/sub-0051483_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051484,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051484/anat/sub-0051484_T1w.nii.gz
Caltech,Caltech,0051484,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051484/func/sub-0051484_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051485,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051485/anat/sub-0051485_T1w.nii.gz
Caltech,Caltech,0051485,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051485/func/sub-0051485_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051486,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051486/anat/sub-0051486_T1w.nii.gz
Caltech,Caltech,0051486,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051486/func/sub-0051486_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051487,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051487/anat/sub-0051487_T1w.nii.gz
Caltech,Caltech,0051487,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051487/func/sub-0051487_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051488,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051488/anat/sub-0051488_T1w.nii.gz
Caltech,Caltech,0051488,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051488/func/sub-0051488_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051489,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051489/anat/sub-0051489_T1w.nii.gz
Caltech,Caltech,0051489,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051489/func/sub-0051489_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051490,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051490/anat/sub-0051490_T1w.nii.gz
Caltech,Caltech,0051490,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051490/func/sub-0051490_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051491,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051491/anat/sub-0051491_T1w.nii.gz
Caltech,Caltech,0051491,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051491/func/sub-0051491_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051492,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051492/anat/sub-0051492_T1w.nii.gz
Caltech,Caltech,0051492,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051492/func/sub-0051492_task-rest_run-1_bold.nii.gz
Caltech,Caltech,0051493,,,T1w,"[176, 256, 256]","[1.0, 1.0, 1.0]",,,,Caltech/sub-0051493/anat/sub-0051493_T1w.nii.gz
Caltech,Caltech,0051493,rest,1,bold,"[64, 64, 34]","[3.5, 3.5, 3.5]",2.0,150.0,300.0,Caltech/sub-0051493/func/sub-0051493_task-rest_run-1_bold.nii.gz
KKI,KKI,0050772,,,T1w,"[256, 200, 256]","[1.0, 1.0, 1.0]",,,,KKI/sub-0050772/anat/sub-0050772_T1w.nii.gz
KKI,KKI,0050772,rest,1,bold,"[96, 96, 47]","[2.67, 2.67, 3.0]",2.5,156.0,390.0,KKI/sub-0050772/func/sub-0050772_task-rest_run-1_bold.nii.gz
KKI,KKI,0050773,,,T1w,"[256, 200, 256]","[1.0, 1.0, 1.0]",,,,KKI/sub-0050773/anat/sub-0050773_T1w.nii.gz
KKI,KKI,0050773,rest,1,bold,"[96, 96, 47]","[2.67, 2.67, 3.0]",2.5,156.0,390.0,KKI/sub-0050773/func/sub-0050773_task-rest_run-1_bold.nii.gz
KKI,KKI,0050774,,,T1w,"[256, 200, 256]","[1.0, 1.0, 1.0]",,,,KKI/sub-0050774/anat/sub-0050774_T1w.nii.gz
KKI,KKI,0050774,rest,1,bold,"[96, 96, 47]","[2.67, 2.67, 3.0]",2.5,156.0,390.0,KKI/sub-0050774/func/sub-0050774_task-rest_run-1_bold.nii.gz
KKI,KKI,0050775,,,T1w,"[256, 200, 256]","[1.0, 1.0, 1.0]",,,,KKI/sub-0050775/anat/sub-0050775_T1w.nii.gz
KKI,KKI,0050775,rest,1,bold,"[96, 96, 47]","[2.67, 2.67, 3.0]",2.5,156.0,390.0,KKI/sub-0050775/func/sub-0050775_task-rest_run-1_bold.nii.gz
KKI,KKI,0050776,,,T1w,"[256, 200, 256]","[1.0, 1.0, 1.0]",,,,KKI/sub-0050776/anat/sub-0050776_T1w.nii.gz
KKI,KKI,0050776,rest,1,bold,"[96, 96, 47]","[2.67, 2.67, 3.0]",2.5,156.0,390.0,KKI/sub-0050776/func/sub-0050776_task-rest_run-1_bold.nii.gz
KKI,KKI,0050777,,,T1w,"[256, 200, 256]","[1.0, 1.0, 1.0]",,,,KKI/sub-0050777/anat/sub-0050777_T1w.nii.gz
KKI,KKI,0050777,rest,1,bold,"[96, 96, 47]","[2.67, 2.67, 3.0]",2.5,156.0,390.0,KKI/sub-0050777/func/sub-0050777_task-rest_run-1_bold.nii.gz
KKI,KKI,0050778,,,T1w,"[256, 180, 256]","[1.0, 1.0, 1.0]",,,,KKI/sub-0050778/anat/sub-0050778_T1w.nii.gz
KKI,KKI,0050778,rest,1,bold,"[96, 96, 47]","[2.67, 2.67, 3.0]",2.5,156.0,390.0,KKI/sub-0050778/func/sub-0050778_task-rest_run-1_bold.nii.gz
KKI,KKI,0050779,,,T1w,"[256, 200, 256]","[1.0, 1.0, 1.0]",,,,KKI/sub-0050779/anat/sub-0050779_T1w.nii.gz
KKI,KKI,0050779,rest,1,bold,"[96, 96, 47]","[2.67, 2.67, 3.0]",2.5,156.0,390.0,KKI/sub-0050779/func/sub-0050779_task-rest_run-1_bold.nii.gz
KKI,KKI,0050780,,,T1w,"[256, 200, 256]","[1.0, 1.0, 1.0]",,,,KKI/sub-0050780/anat/sub-0050780_T1w.nii.gz
KKI,KKI,0050780,rest,1,bold,"[96, 96, 47]","[2.67, 2.67, 3.0]",2.5,156.0,390.0,KKI/sub-0050780/func/sub-0050780_task-rest_run-1_bold.nii.gz
KKI,KKI,0050781,,,T1w,"[256, 180, 256]","[1.0, 1.0, 1.0]",,,,KKI/sub-0050781/anat/sub-0050781_T1w.nii.gz
KKI,KKI,0050781,rest,1,bold,"[96, 96, 47]","[2.67, 2.67, 3.0]",2.5,156.0,390.0,KKI/sub-0050781/func/sub-0050781_task-rest_run-1_bold.nii.gz
KKI,KKI,0050782,,,T1w,"[256, 200, 256]","[1.0, 1.0, 1.0]",,,,KKI/sub-0050782/anat/sub-0050782_T1w.nii.gz
KKI,KKI,0050782,rest,1,bold,"[96, 96, 47]","[2.67, 2.67, 3.0]",2.5,156.0,390.0,KKI/sub-0050782/func/sub-0050782_task-rest_run-1_bold.nii.gz
KKI,KKI,0050783,,,T1w,"[256, 190, 256]","[1.0, 1.0, 1.0]",,,,KKI/sub-0050783/anat/sub-0050783_T1w.nii.gz
